#{"t_start": 1720222829.1774597, "env_id": "None"}
r,l,t
4266767.39473,1580,9409.317765
2016358.999424,1580,9430.066289
4615881.661276,1580,9453.088198
999378.246575,1580,9475.0111
3172649.242624,1580,9496.19805
1869023.686675,1580,9519.6942
4480781.253679,1580,9541.393469
2636731.012325,1580,9562.467937
1179261.873826,1580,9586.037073
1290207.047455,1580,9608.892092
1848972.47909,1580,9630.357249
4351244.049386,1580,9653.733142
4565145.744607,1580,9675.098307
775112.705622,1580,9696.505731
4355254.722625,1580,9719.991349
2917970.231231,1580,9741.249542
1793528.265144,1580,9762.510121
2440625.673766,1580,9785.626856
884777.648627,1580,9807.331777
1268082.44084,1580,9829.789183
1302374.658977,1580,9852.96603
1073851.902186,1580,9875.916754
926604.340522,1580,9898.695602
1310753.078222,1580,9921.535536
2452397.163962,1580,9943.090864
1143796.761998,1580,9965.056711
1468715.512124,1580,9986.938987
947878.127863,1580,10008.12081
841569.236807,1580,10030.894699
1254572.360628,1580,10053.404128
1055509.62848,1580,10074.295747
734727.881466,1580,10096.765093
910372.248774,1580,10119.660652
1280244.883763,1580,10140.425553
954253.120787,1580,10163.112375
1102803.443558,1580,10186.175886
1394714.953143,1580,10207.108702
1709783.677116,1580,10229.299856
1162348.622779,1580,10251.512293
999526.466403,1580,10273.385674
1536852.726901,1580,10297.315662
696315.646398,1580,10319.042635
840195.104983,1580,10340.652481
1312619.01123,1580,10363.539608
568604.133691,1580,10385.213811
1127621.504639,1580,10406.362599
1828727.73814,1580,10430.566547
1699062.807679,1580,10451.473144
1633556.565805,1580,10472.928841
1625169.763187,1580,10496.593417
1741629.596571,1580,10519.384508
1773540.646621,1580,10542.201154
1358360.593712,1580,10567.348858
1272893.606143,1580,10589.16586
3280665.066514,1580,10613.898143
920796.622561,1580,10637.983837
1058401.155244,1580,10658.86323
1900255.95393,1580,10681.751772
4355256.764625,1580,10703.344629
1286406.184841,1580,10725.283217
2246376.023163,1580,10747.369143
1761627.870659,1580,10768.985165
1841338.004561,1580,10790.090905
1098232.410659,1580,10813.138939
1293623.541618,1580,10835.698887
972227.887937,1580,10857.127827
4565145.744607,1580,10879.453805
1335957.829167,1580,10901.315649
1674265.024337,1580,10922.477828
1975879.64754,1580,10944.850817
822225.645163,1580,10966.201256
1351899.367993,1580,10987.213217
1116755.46302,1580,11010.726132
4207842.011101,1580,11032.817834
950151.292579,1580,11053.555961
938099.215149,1580,11077.023756
825277.610376,1580,11098.811768
596938.176146,1580,11119.759629
1489303.405407,1580,11143.435841
1419255.305367,1580,11164.587576
1462536.354695,1580,11185.480502
1567037.232353,1580,11209.008241
1596890.33514,1580,11230.813824
3492307.956753,1580,11253.861186
1202031.624214,1580,11277.131044
776258.419644,1580,11299.090859
779434.013141,1580,11321.621243
861126.995662,1580,11344.361441
606500.385939,1580,11365.188535
2343011.804108,1580,11387.639452
4261835.382655,1580,11416.730607
1565940.848583,1580,11440.869468
848327.61219,1580,11463.672823
878359.124744,1580,11486.616073
4412594.15908,1580,11507.268502
1145280.217982,1580,11530.312147
2337296.59866,1580,11551.617886
2212384.345941,1580,11572.017992
2267174.315105,1580,11593.615452
989841.693918,1580,11616.147533
